hash,block,blocktime,from,label,to,label,value,symbol
0xc7efd90191031d62e14b17360f9a7d2b2d3abc6804b45908487f5cbefafa4021,10780955,2020-09-02 17:18:43,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,13071,USDT
0x2ae683e3fcf763783de88dbe35e8a3d4aaca8d5a8fb1a36a4db7717211f14df5,10783279,2020-09-03 01:44:51,0x04518389f9c790254f6471e955b7ac2fc0843990,,0x3e673742707229bca4d6b95363adf045c47a9e94,,12987.01,USDT
0x756a9c5b2244aaf2d52528d28656061f6678fe53eed0fbfd30ed535e3c5c0ff9,10786166,2020-09-03 12:18:08,0x04518389f9c790254f6471e955b7ac2fc0843990,,0x3e673742707229bca4d6b95363adf045c47a9e94,,10355.67,USDT
0xb898abd218bf001364474fdbd98818e0b229982f38a93295a4ea797e79560729,10786215,2020-09-03 12:29:44,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x92679b78a9e1088f3b3cf7ec9b6ae68f1e0edc63,,35946.68,USDT
0x5689cea5de92b25073bd9ed22717a92209f605ddae5c6eb4afb228b05b33fb21,10786667,2020-09-03 14:15:39,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,14587.78,USDT
0x34758d8d78b1d3dec8b6bb8c3edc90d78f793b00ff0472353ba17ba1793ef71a,10788105,2020-09-03 19:40:32,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x4083d114d5d630618a9c0c7700c7ad91d765e3ec,Binance,5000,USDT
0xb4e181ee671077b0a4beb6fb30142436e95bbe33755612e7bae1859def670e72,10792343,2020-09-04 11:22:05,0x04518389f9c790254f6471e955b7ac2fc0843990,,0x3e673742707229bca4d6b95363adf045c47a9e94,,5782.71,USDT
0x2e91ea407abea37597bfff7dd16452c1f777ebb9750ef5c4804e8d853f719ca3,10793776,2020-09-04 16:17:58,0x3120512fefb64d1c6b4f3bb4650f2b7d6eab02e3,,0x3e673742707229bca4d6b95363adf045c47a9e94,,14360.1234,USDT
0x6d74766e817768f078014fa1b7607df913750f2a1cd76c2630d83dd057e2f879,10794217,2020-09-04 18:07:59,0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi,0x3e673742707229bca4d6b95363adf045c47a9e94,,71937,USDT
0xf848a85b909190bb9c565cb3a94269c13e33fb171d897c16d82e37431e3e289e,10802476,2020-09-06 00:25:18,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x92679b78a9e1088f3b3cf7ec9b6ae68f1e0edc63,,100667.6134,USDT
0x43603bc07d4a9034227841c39de7c438aa6252fd54088611bffdd7aa62fe2ed9,10807315,2020-09-06 18:04:12,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,16906.09,USDT
0x0b74c454484384afb5552ef3525f0c5b40ad355b3187e6393d131138060ae91b,10808788,2020-09-06 23:28:43,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,16691.78,USDT
0x9b3937b691c9ca86fe648aca587f4b95cc65ca42b0ddb95f207e5a8a23230c67,10809012,2020-09-07 00:12:34,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,15821.42,USDT
0x55ae2afda6ed903b49557f66bbc2566c271239d715390ecd09add36e0bf72696,10812083,2020-09-07 11:29:28,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,16056.28,USDT
0x1a8f3c0ef17cf1be5996a5e20bce70a9157a578ac5c74b43ecbd80b8e0ead076,10812280,2020-09-07 12:18:08,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,14306.162,USDT
0xffb4daaccf416a7ba52d2fa99ccaa7dae315034dca5a5a15e897c3d294469603,10814623,2020-09-07 20:50:04,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x92679b78a9e1088f3b3cf7ec9b6ae68f1e0edc63,,73781.732,USDT
