hash,block,blocktime,from,label,to,label,value,fee
0x33ee1ee00a3211dce1ac95302c6c474721e50e899430c270ee1915a6ad84d323,10975667,2020-10-02 16:57:32,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0045
0x3f94b7c058e905d40115d5feaadbc92ee92655e85d812bc19e80d863d37a422d,10975669,2020-10-02 16:58:31,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0044
0x1f5a385d168c4b19d36473d5b92792fd0b70db29541f3171a1523e851e58917b,10975682,2020-10-02 17:00:39,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x113f34b517fb548a0c84eee58c58fb0c4e85b1bd28e9dcefdd25e0634fb943ab,10975682,2020-10-02 17:00:39,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0043
0x1c6e66c2a437f53945851e59213a50343b939916f68fd19a9d5fc863e766d277,10975687,2020-10-02 17:01:29,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0043
0x010babf42f13df12c39f9a89c9b9558d680f62b2fd7d4ddc178433e00b26a76a,10975696,2020-10-02 17:03:16,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x72df43d479d5467f9238433f99e64a5bdc6a1777c145cf79aabbeb42e3814820,10975701,2020-10-02 17:04:04,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0043
0x23c57f8fb10fc2be75525f19769f2150f592d831d063a8bae4d9bfba88b5053d,10975717,2020-10-02 17:08:33,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x6d26b476946524c8636fd354c8245d45fe5f029e7f2a3219e92fd8ee80fb2d48,10976789,2020-10-02 21:09:45,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0x63e60b4fdcd1ec84d697342aa1e4c0968a2155db82051a84a91b91b4424ede6d,10976793,2020-10-02 21:10:30,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0018
0xde3b6afb1def170065ec5c1c411823bbe374c4090cbf2aaa04f009faed3a46e9,10976811,2020-10-02 21:13:21,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0x9ae9dac9c0af02b707f702410de6946327f1355567991000de27578b0f6db208,10976813,2020-10-02 21:13:27,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0026
0x88e95faa0f3e421a9180fa749784831b0412ac2e5d2e5fdaca9ef2c913330ba8,10976819,2020-10-02 21:14:28,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0xbb4bdf92780b307acfec38e112228322aba45bfa4c4d8507b6cf32646b02c6ee,10976839,2020-10-02 21:19:19,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0021
0xd96065389af40630f8a4bb60c98aac833f15182704c090877f1dba88e1b13e8b,10976849,2020-10-02 21:21:23,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.002
0x0a553115758218ba7c617a22ad404e9cf7b5b2285a9ab93c14bbd22220ac0a00,10977010,2020-10-02 21:54:17,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0026
