hash,block,blocktime,from,label,to,label,value,fee
0x3a0082eab62e9cfb8f2a2647ae19d5653436703abc728562ffdfbf97b919f334,10964771,2020-10-01 00:17:24,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0054
0x507e841426d9978fa9f860051d24b52feb8228039922ebe2a5a521c87509d654,10964791,2020-10-01 00:22:09,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0054
0x47e11f9966bfa111e6c7ce36f44f7b890834e725b5b7df15992e7649c8feb517,10964791,2020-10-01 00:22:09,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0054
0x902255d90b61cf4dfed845913ba6f900ca979b1f1a9654f8be85f4f84bd47961,10964791,2020-10-01 00:22:09,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0073
0xf8a5b9c861b7bae848a378c8464032728fd74ccfd95d573230d6dae97cd73915,10964791,2020-10-01 00:22:09,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0054
0xd0d549dd300b59b9cd5c89b44b15dba0ec2beae475095d9ccc92f8e841af8122,10964791,2020-10-01 00:22:09,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0073
0xc06257cc7cbfce24aa967ae68977965029a7161d3402e5e24f4fd7ab4643ab4b,10964791,2020-10-01 00:22:09,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0xc86f5bf4f16a3c8af0d0aa4e545e22367a7f824b5c8fb0eb3f5016468a24b628,10964791,2020-10-01 00:22:09,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0073
0x5a282bef7935a77d25d27eaea929cfa8b0096bc543e76237a46c3ed77e114610,10964793,2020-10-01 00:22:57,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0054
0x2de37a580a69522e3217d98f464ce72fe746204c0984de5d59775dd4d70c1e62,10964797,2020-10-01 00:23:33,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x1d439291e07db03602695d587041c4c1b3ad3d3481b4d0140205cd342866d7ea,10964932,2020-10-01 00:55:00,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0046
0xe5fb8c1e4c7bf21e61ec5c85c88bbade6e7dc4ce3ef628eb6d3a14c53499df7d,10965009,2020-10-01 01:14:12,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0066
0x2c39de7ff1712b27e510175428a2399dab71fe56bbf21721a8ed27f102762567,10965219,2020-10-01 02:00:58,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0025
0x224b55b34dc0d3d5f6b20e5118662dc4eb73b13df2d69463d89621fbfc41c144,10965331,2020-10-01 02:24:00,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0026
0xc9f01d16aa01d68b4b19eee7c75e74bbc6da118010c24b19cfb385ecff02f1ff,10968279,2020-10-01 13:22:28,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0031
0xa6e0b663141460aef071aea9ee42247bf9207f2b8bc26f9a28f0e8f1f85962ee,10968279,2020-10-01 13:22:28,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0025
0xf660da1f6777540bcd97a8b79ed89f7aca60e19b99e270e70e8f41d817197c5c,10968279,2020-10-01 13:22:28,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0022
0x6192d76188b3be413f641e78bb637d3cd4913c6a7bbbf040ab7c2654b703eb4c,10968279,2020-10-01 13:22:28,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0033
0x02d2e63ce4090678c8aeab36f4cccc43225b4330be4b12d7d11ab038178c1d45,10968284,2020-10-01 13:23:17,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0xbb4791a583442bcb7abe65126883c63bb961da1e2cd28f0b86cfd0424add9096,10968284,2020-10-01 13:23:17,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0022
0x0415b81f4f62da0db1974c80e6d84151bb77181313b695451093cc202089dfa7,10968319,2020-10-01 13:30:19,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0x40bb3f40dc8ed732f9bf7e3873314b5b8e43ea144acac6608f27eaa1dfc63b8f,10968319,2020-10-01 13:30:19,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0019
0xace843481a1e810b66fecf644f9b6b56cd10df4d0a0880b6052bed9683834772,10968319,2020-10-01 13:30:19,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0xaac27c45d09b8e4130f48cd02a19d4d8aa1dedcd6cf2d1618671e137312194cf,10968320,2020-10-01 13:30:22,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0xf854bd16707e52d931c3a361ff812c8029e5e9f216f54ccb71d38c3b5d9b5474,10968320,2020-10-01 13:30:22,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0025
0x6c9441e486ebba0df25f650cb8da18692bbd94ed3c7acc198f4d8c1687d3f462,10968867,2020-10-01 15:37:46,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.003
0x534da89387725c1f90146dee9c62869fe3b248dd279a224166e8ad17d240422a,10970063,2020-10-01 20:05:05,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0033
0x4159abd6d59b515a3e37719f72d245d6dc71947aff161caa4b6ed59546510895,10970068,2020-10-01 20:06:20,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0024
0x5a57e9902a56d0a19e6214e184b7dc47420f207694d8b0054472bfa31735ae72,10970071,2020-10-01 20:07:08,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0024
0x130e70842a5b53775767b01448a9f93dbf804daefe975a42fe79069102240767,10970074,2020-10-01 20:07:34,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0024
0xabbb19ef80dccf2589e06b02d687d309fd204bfad4444dd4e5476125648c9d53,10970080,2020-10-01 20:08:45,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0024
0xe4fa57a48366b3fe59cf53879872a9d14e45f575a4f92668140615427efb9512,10970102,2020-10-01 20:14:48,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0x61693e30936464fe99a69751edb9f3bf86068778c387ac0b15a41c0249805284,10970721,2020-10-01 22:43:14,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0039
0x70ebb1b3e96e279f2bbb4ce22b844160142c753149cce7434cf02cb9aaa9a1ad,10970722,2020-10-01 22:43:31,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0039
0x60ef062ffb25a1f1f263b0dc8642a1c8c1f4f6d3b56021d4ae4cc6a05a29984c,10970726,2020-10-01 22:44:55,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0039
0x6294eac40f94c02ada98debb45fa0fc2ffddb996fec8070aadf0e4ec85f41169,10970778,2020-10-01 22:55:39,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x9e1ba807a382b9e3ae727dd4e20ae132fe14fdbee360b309775d33d55171ff21,10970826,2020-10-01 23:03:11,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0038
0x7117179508bd5fa38becb68a23e529999d2230df5d44888e972a22210f8fe64e,10971145,2020-10-02 00:12:55,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0054
0x4f5c0902695cac7c3d288a803922132a660c447edde1be0c95f93dade9ee1c38,10971283,2020-10-02 00:44:10,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0079
0x0043a38c84d54fb2c7bc0de57bee3a349aefd77dd4f2243844a15fd713f671d5,10971285,2020-10-02 00:44:37,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0079
0x5363d095042a564226bd4c724787d3703f60dccbff26064593d64fe04413f746,10971307,2020-10-02 00:48:35,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0111
0x55c011d24a11b5b371a6740cdec5ed02d9073ace3515785a4fa54c94dd4fb680,10971327,2020-10-02 00:53:43,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0118
